iter	Passed	Remaining
0	145	145646
1	147	73680
2	149	49631
3	150	37569
4	152	30360
5	154	25547
6	156	22133
7	157	19559
8	159	17524
9	160	15913
10	162	14589
11	164	13520
12	165	12584
13	167	11781
14	168	11091
15	170	10507
16	172	9976
17	173	9492
18	175	9085
19	177	8701
20	179	8354
21	181	8047
22	182	7765
23	184	7510
24	186	7280
25	188	7053
26	189	6839
27	191	6641
28	192	6457
29	194	6283
30	195	6120
31	199	6022
32	200	5880
33	202	5741
34	203	5614
35	205	5497
36	206	5383
37	208	5278
38	210	5176
39	212	5103
40	214	5011
41	215	4922
42	217	4835
43	218	4754
44	220	4676
45	221	4599
46	223	4528
47	224	4460
48	226	4403
49	228	4349
50	231	4302
51	232	4241
52	234	4187
53	235	4133
54	237	4080
55	239	4032
56	241	3990
57	243	3949
58	245	3908
59	246	3868
60	248	3826
61	251	3812
62	253	3772
63	256	3747
64	257	3710
65	259	3671
66	261	3635
67	262	3598
68	264	3564
69	265	3530
70	267	3499
71	269	3469
72	271	3443
73	272	3414
74	274	3385
75	276	3356
76	277	3326
77	279	3300
78	280	3273
79	282	3246
80	284	3233
81	286	3208
82	287	3176
83	288	3151
84	290	3129
85	292	3106
86	293	3084
87	295	3061
88	297	3041
89	300	3034
90	301	3016
91	303	2995
92	305	2976
93	306	2955
94	308	2938
95	310	2920
96	311	2901
97	315	2906
98	317	2888
99	319	2872
100	320	2854
101	322	2836
102	323	2819
103	325	2802
104	326	2785
105	329	2782
106	332	2773
107	334	2761
108	336	2746
109	337	2731
110	339	2716
111	340	2700
112	342	2687
113	345	2681
114	346	2668
115	348	2653
116	349	2635
117	350	2621
118	352	2606
119	353	2593
120	355	2580
121	356	2565
122	359	2564
123	361	2554
124	363	2543
125	365	2532
126	366	2518
127	367	2506
128	369	2496
129	371	2484
130	374	2483
131	375	2472
132	377	2462
133	379	2452
134	381	2444
135	383	2434
136	384	2424
137	391	2442
138	392	2432
139	394	2423
140	396	2415
141	397	2402
142	399	2393
143	401	2384
144	403	2379
145	406	2376
146	409	2377
147	411	2368
148	413	2359
149	414	2350
150	416	2341
151	419	2338
152	420	2330
153	424	2333
154	426	2325
155	428	2320
156	430	2312
157	432	2304
158	434	2300
159	436	2292
160	437	2281
161	439	2272
162	441	2265
163	442	2257
164	445	2252
165	446	2245
166	449	2242
167	451	2234
168	452	2227
169	454	2219
170	456	2212
171	458	2205
172	459	2197
173	461	2189
174	463	2185
175	467	2187
176	468	2180
177	470	2172
178	472	2165
179	473	2159
180	475	2152
181	477	2144
182	479	2140
183	481	2134
184	482	2127
185	484	2121
186	486	2115
187	488	2109
188	489	2102
189	491	2096
190	493	2090
191	495	2083
192	496	2076
193	498	2071
194	500	2064
195	501	2057
196	503	2051
197	504	2044
198	507	2041
199	509	2036
200	510	2030
201	513	2027
202	514	2021
203	516	2016
204	518	2010
205	520	2004
206	522	2002
207	524	1997
208	526	1991
209	527	1985
210	529	1979
211	530	1973
212	532	1968
213	534	1962
214	536	1957
215	537	1952
216	539	1946
217	541	1942
218	543	1936
219	544	1931
220	546	1926
221	547	1919
222	549	1913
223	551	1910
224	554	1909
225	555	1903
226	557	1898
227	559	1893
228	561	1890
229	564	1888
230	568	1893
231	573	1899
232	576	1898
233	578	1895
234	582	1896
235	584	1891
236	586	1887
237	588	1884
238	591	1884
239	595	1885
240	599	1886
241	601	1884
242	603	1881
243	605	1876
244	607	1871
245	609	1866
246	610	1861
247	613	1860
248	615	1856
249	617	1851
250	618	1846
251	620	1842
252	622	1837
253	624	1833
254	626	1829
255	628	1826
256	630	1823
257	632	1819
258	634	1815
259	636	1810
260	638	1807
261	639	1802
262	643	1803
263	645	1798
264	646	1793
265	648	1789
266	650	1784
267	651	1780
268	653	1776
269	655	1771
270	658	1770
271	659	1766
272	661	1761
273	663	1756
274	664	1752
275	666	1747
276	667	1743
277	669	1738
278	671	1734
279	673	1731
280	674	1727
281	676	1722
282	678	1718
283	679	1714
284	681	1709
285	683	1705
286	684	1701
287	687	1698
288	688	1694
289	690	1691
290	693	1690
291	695	1686
292	697	1682
293	699	1678
294	700	1674
295	703	1672
296	704	1668
297	706	1664
298	708	1660
299	709	1656
300	711	1651
301	713	1648
302	714	1643
303	717	1641
304	718	1638
305	720	1634
306	722	1630
307	723	1626
308	725	1622
309	727	1618
310	728	1614
311	730	1610
312	732	1607
313	734	1603
314	736	1600
315	737	1596
316	740	1595
317	742	1592
318	744	1588
319	747	1587
320	748	1583
321	750	1580
322	752	1576
323	753	1573
324	755	1569
325	757	1566
326	759	1562
327	762	1561
328	763	1557
329	765	1554
330	767	1550
331	768	1546
332	770	1542
333	771	1539
334	773	1535
335	775	1533
336	777	1529
337	779	1525
338	780	1522
339	782	1518
340	784	1516
341	786	1512
342	787	1509
343	789	1506
344	791	1503
345	793	1499
346	795	1496
347	796	1492
348	798	1489
349	800	1485
350	801	1482
351	803	1479
352	806	1477
353	807	1473
354	809	1470
355	810	1466
356	811	1462
357	813	1459
358	815	1455
359	817	1452
360	818	1449
361	821	1447
362	823	1444
363	824	1441
364	826	1438
365	828	1434
366	830	1432
367	832	1429
368	835	1428
369	837	1425
370	838	1422
371	840	1418
372	842	1415
373	844	1412
374	845	1409
375	847	1406
376	850	1404
377	851	1401
378	853	1398
379	855	1395
380	856	1392
381	858	1388
382	860	1385
383	862	1383
384	865	1382
385	867	1379
386	869	1376
387	870	1373
388	872	1370
389	874	1367
390	876	1364
391	877	1361
392	880	1359
393	881	1356
394	883	1353
395	885	1350
396	887	1347
397	888	1344
398	890	1341
399	892	1338
400	894	1336
401	896	1333
402	898	1330
403	899	1327
404	901	1324
405	903	1321
406	905	1318
407	906	1315
408	908	1312
409	910	1310
410	912	1307
411	914	1304
412	916	1302
413	917	1299
414	919	1296
415	921	1293
416	923	1291
417	925	1288
418	927	1285
419	929	1282
420	930	1279
421	932	1277
422	934	1274
423	936	1272
424	939	1271
425	941	1268
426	943	1265
427	944	1262
428	946	1259
429	948	1257
430	950	1254
431	955	1256
432	957	1254
433	959	1251
434	961	1249
435	963	1246
436	965	1244
437	967	1241
438	971	1240
439	973	1239
440	975	1236
441	976	1233
442	978	1230
443	980	1227
444	982	1225
445	987	1226
446	989	1224
447	991	1221
448	993	1218
449	995	1217
450	997	1214
451	999	1211
452	1001	1209
453	1003	1206
454	1004	1203
455	1006	1201
456	1008	1198
457	1011	1197
458	1013	1194
459	1015	1191
460	1017	1189
461	1020	1187
462	1022	1185
463	1024	1182
464	1026	1180
465	1028	1178
466	1032	1178
467	1034	1175
468	1038	1175
469	1041	1174
470	1044	1173
471	1046	1170
472	1048	1167
473	1050	1165
474	1051	1162
475	1053	1159
476	1057	1159
477	1058	1156
478	1060	1153
479	1062	1151
480	1064	1148
481	1065	1145
482	1067	1143
483	1070	1140
484	1072	1138
485	1074	1136
486	1075	1133
487	1077	1130
488	1080	1129
489	1083	1127
490	1086	1126
491	1088	1124
492	1090	1121
493	1092	1119
494	1094	1116
495	1096	1114
496	1098	1111
497	1101	1109
498	1103	1107
499	1105	1105
500	1107	1102
501	1109	1100
502	1111	1098
503	1113	1095
504	1116	1094
505	1118	1091
506	1120	1089
507	1122	1087
508	1124	1084
509	1126	1082
510	1128	1080
511	1131	1078
512	1133	1075
513	1134	1073
514	1136	1070
515	1138	1067
516	1140	1065
517	1142	1063
518	1145	1061
519	1148	1059
520	1149	1057
521	1151	1054
522	1153	1052
523	1155	1049
524	1158	1047
525	1164	1048
526	1167	1048
527	1170	1046
528	1172	1044
529	1175	1042
530	1178	1040
531	1180	1038
532	1182	1035
533	1184	1033
534	1186	1031
535	1188	1029
536	1192	1028
537	1194	1025
538	1198	1025
539	1200	1022
540	1202	1020
541	1205	1018
542	1207	1015
543	1209	1013
544	1211	1011
545	1213	1008
546	1216	1007
547	1218	1004
548	1221	1003
549	1223	1000
550	1224	997
551	1226	995
552	1228	992
553	1230	990
554	1232	987
555	1235	987
556	1237	984
557	1239	981
558	1241	979
559	1243	976
560	1245	974
561	1247	972
562	1250	970
563	1252	968
564	1254	965
565	1259	965
566	1261	963
567	1262	960
568	1264	957
569	1266	955
570	1268	952
571	1270	950
572	1271	947
573	1273	945
574	1275	942
575	1277	940
576	1280	938
577	1282	936
578	1284	933
579	1285	931
580	1287	928
581	1289	926
582	1291	923
583	1294	922
584	1296	919
585	1298	917
586	1300	915
587	1302	912
588	1304	910
589	1306	907
590	1309	906
591	1311	903
592	1313	901
593	1314	898
594	1316	896
595	1318	893
596	1320	891
597	1323	890
598	1325	887
599	1327	884
600	1329	882
601	1331	880
602	1332	877
603	1334	874
604	1336	872
605	1339	870
606	1341	868
607	1343	866
608	1345	864
609	1347	861
610	1349	859
611	1351	857
612	1354	855
613	1356	852
614	1359	850
615	1361	848
616	1362	846
617	1364	843
618	1367	841
619	1369	839
620	1371	836
621	1373	834
622	1375	832
623	1377	829
624	1378	827
625	1380	824
626	1384	823
627	1385	820
628	1387	818
629	1389	815
630	1391	813
631	1393	811
632	1395	808
633	1398	807
634	1400	804
635	1401	802
636	1404	800
637	1406	797
638	1407	795
639	1409	792
640	1412	791
641	1414	788
642	1415	786
643	1420	785
644	1422	783
645	1424	780
646	1426	778
647	1429	776
648	1430	773
649	1433	771
650	1435	769
651	1437	767
652	1438	764
653	1442	762
654	1444	760
655	1445	758
656	1448	756
657	1450	753
658	1452	751
659	1453	748
660	1455	746
661	1457	744
662	1459	741
663	1461	739
664	1463	737
665	1464	734
666	1466	732
667	1467	729
668	1469	727
669	1472	725
670	1474	723
671	1476	720
672	1478	718
